cell_index,cell_label,n_seeds,epoch,override_build.wood_cost,override_build.stone_cost,override_build.income_per_house_per_step,total_production_mean,total_production_median,total_production_p10,total_production_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_p10,gini_coefficient_p90,welfare_mean,welfare_median,welfare_p10,welfare_p90,total_tax_revenue_mean,total_tax_revenue_median,total_tax_revenue_p10,total_tax_revenue_p90,total_audits_mean,total_audits_median,total_audits_p10,total_audits_p90,total_catches_mean,total_catches_median,total_catches_p10,total_catches_p90,bunching_intensity_mean,bunching_intensity_median,bunching_intensity_p10,bunching_intensity_p90,enforcement_cost_mean,enforcement_cost_median,enforcement_cost_p10,enforcement_cost_p90
1,wood_cost=3_stone_cost=3_income_per_house_per_step=0.5,20,24,3,3,0.5,244.78,248.75,155.82,321.62999999999994,0.5140427323676865,0.5188455413441605,0.4509435315702306,0.6037064928360423,17.22726434810187,17.51456201245829,10.854913995318407,22.743864526058296,51.49584619289362,49.45658415486271,29.1659800114403,74.31738530103559,13.9,14.0,13.9,14.0,0.75,1.0,0.0,2.0,0.09285714285714285,0.07142857142857142,0.0,0.14285714285714285,6.95,7.0,6.95,7.0
1,wood_cost=3_stone_cost=3_income_per_house_per_step=0.5,20,25,3,3,0.5,245.7,251.95,158.33,326.67999999999995,0.5092797260558992,0.5191525123364602,0.44193734940067664,0.5700681395881427,17.29536013697205,17.757820729749703,11.04874245739436,23.114703315332815,54.57614522401536,53.36568521189214,29.55477135096999,77.59444607895637,13.85,14.0,13.0,14.0,0.2,0.0,0.0,1.0,0.10357142857142856,0.10714285714285714,0.07142857142857142,0.14285714285714285,6.925,7.0,6.5,7.0
1,wood_cost=3_stone_cost=3_income_per_house_per_step=0.5,20,26,3,3,0.5,256.365,256.55,169.71,326.49999999999994,0.5169557990513499,0.5174985733467345,0.45640084845045636,0.5877108843958182,18.05330781476004,18.062586111570262,11.859220893021506,23.107858311971235,57.247766295776884,56.7569092768043,33.17542475241072,83.14627387449757,13.85,14.0,13.0,14.0,1.05,1.0,0.0,2.0,0.11071428571428571,0.07142857142857142,0.06428571428571428,0.21428571428571427,6.925,7.0,6.5,7.0
1,wood_cost=3_stone_cost=3_income_per_house_per_step=0.5,20,27,3,3,0.5,263.485,269.45,189.08,345.21,0.5129985083745096,0.512814554822798,0.4440650738466356,0.5854652350675353,18.563857888669887,19.025445904032562,13.224568524222537,24.44653750305304,60.935128564979124,59.12540055956448,33.550839506376654,88.0975891349267,13.7,14.0,13.0,14.0,0.7,0.5,0.0,2.0,0.08928571428571427,0.07142857142857142,0.0,0.15,6.85,7.0,6.5,7.0
1,wood_cost=3_stone_cost=3_income_per_house_per_step=0.5,20,28,3,3,0.5,262.21,262.85,164.99000000000004,327.27,0.5055752718930294,0.5010655780550728,0.4524279507990018,0.5675996370154747,18.476498078339198,18.544373886034123,11.51995992130042,23.14765473267026,62.81872191923581,65.71717760250161,35.18060221892078,85.57230802853212,13.8,14.0,13.0,14.0,0.2,0.0,0.0,1.0,0.08571428571428572,0.07142857142857142,0.0,0.14285714285714285,6.9,7.0,6.5,7.0
1,wood_cost=3_stone_cost=3_income_per_house_per_step=0.5,20,29,3,3,0.5,268.445,276.25,201.13,341.13,0.5053282228491511,0.49184594869947384,0.4296744242089936,0.5855233264198683,18.92197874571828,19.490171685644444,14.078754202844088,24.156225149658386,63.41987836162179,65.23730246210258,37.10273108157194,91.22466728397703,13.95,14.0,14.0,14.0,1.05,1.0,0.0,2.0,0.07857142857142857,0.07142857142857142,0.0,0.15,6.975,7.0,7.0,7.0
2,wood_cost=3_stone_cost=3_income_per_house_per_step=1.0,20,0,3,3,1.0,85.32000000000001,83.95,74.95,93.48,0.24685516745322186,0.2451607742761158,0.1938448374779909,0.31973468533397464,5.970858130559104,5.877024818651023,5.227622050898267,6.580220438403861,8.4932,8.475000000000001,7.3964,9.325,9.95,10.0,8.0,11.0,1.45,1.5,1.0,2.0,0.07142857142857142,0.07142857142857142,0.0,0.14285714285714285,4.975,5.0,4.0,5.5
2,wood_cost=3_stone_cost=3_income_per_house_per_step=1.0,20,1,3,3,1.0,89.95,89.35,72.21,105.53,0.43756998842143896,0.43655267589820357,0.3477970513036423,0.5289699569850908,6.20621500578928,6.18671292038122,4.954119047619048,7.327219938201934,9.1360744,9.2649,6.7095216,11.4182032,10.8,11.0,9.0,13.0,1.55,2.0,1.0,2.0,0.06785714285714285,0.07142857142857142,0.0,0.14285714285714285,5.4,5.5,4.5,6.5
2,wood_cost=3_stone_cost=3_income_per_house_per_step=1.0,20,2,3,3,1.0,113.27,116.4,82.12,151.18,0.5100850958346996,0.523291166115865,0.4469562826463479,0.5725708502024291,7.835671737796936,8.066970273372592,5.611452271984308,10.558199179246857,12.46489855575,12.049576000000002,7.867665736999999,17.508213599999998,11.7,12.0,10.0,13.0,1.75,2.0,1.0,2.0,0.09642857142857142,0.07142857142857142,0.06428571428571428,0.15,5.85,6.0,5.0,6.5
2,wood_cost=3_stone_cost=3_income_per_house_per_step=1.0,20,3,3,3,1.0,129.763,121.35,87.88,177.59,0.530786358890794,0.5320475049545952,0.4617950404698004,0.5880346671228129,9.003392534840318,8.399671716596691,5.9886455864609305,12.446724505663544,15.994294897628949,13.071648686111113,8.710790630000002,24.888230641375003,11.3,11.0,9.9,13.1,0.65,1.0,0.0,1.1,0.1607142857142857,0.14285714285714285,0.07142857142857142,0.2857142857142857,5.65,5.5,4.95,6.55
2,wood_cost=3_stone_cost=3_income_per_house_per_step=1.0,20,4,3,3,1.0,141.1,133.14999999999998,91.27,215.8,0.5408046115086347,0.5313560093637654,0.45891349511414975,0.6167407617809311,9.80816912281711,9.232503731823591,6.2390501622822425,15.112225869417044,19.135868324956636,15.527639029398696,8.4908023515,32.88236632255,12.0,12.0,10.8,14.0,0.1,0.0,0.0,0.1,0.20357142857142857,0.21428571428571427,0.07142857142857142,0.29285714285714287,6.0,6.0,5.4,7.0
2,wood_cost=3_stone_cost=3_income_per_house_per_step=1.0,20,5,3,3,1.0,170.195,153.45,113.28,240.75,0.537226694751931,0.5472523077029174,0.4520239909663692,0.6030116190345315,11.888172366909748,10.72933791027932,7.830898698444733,16.938177376356784,24.736267930547506,20.185371950974936,13.956473374972134,40.42941520659543,12.4,13.0,10.0,14.0,0.95,1.0,0.0,2.0,0.1357142857142857,0.14285714285714285,0.07142857142857142,0.21428571428571427,6.2,6.5,5.0,7.0
2,wood_cost=3_stone_cost=3_income_per_house_per_step=1.0,20,6,3,3,1.0,185.98,180.45,118.31,278.23,0.5300978458637817,0.522532821062669,0.44748775851363604,0.5957564415194713,13.019236791353823,12.592368758323115,8.120894132853856,19.62311890195333,29.024098431100807,24.476675827175036,15.310230861359459,53.011201222958455,12.6,13.0,10.9,14.0,0.75,1.0,0.0,2.0,0.12857142857142856,0.10714285714285714,0.0,0.22142857142857142,6.3,6.5,5.45,7.0
2,wood_cost=3_stone_cost=3_income_per_house_per_step=1.0,20,7,3,3,1.0,193.35999999999999,196.6,121.54,280.28999999999996,0.5310039115062274,0.5223561478945756,0.4504390762217378,0.6188521121794118,13.545926615675457,13.767867893992765,8.358901711327796,19.76309371473806,32.07561241156235,29.506388319460072,18.520370897068545,57.91519591000928,12.65,13.0,11.0,14.0,0.3,0.0,0.0,1.0,0.125,0.14285714285714285,0.0,0.21428571428571427,6.325,6.5,5.5,7.0
2,wood_cost=3_stone_cost=3_income_per_house_per_step=1.0,20,8,3,3,1.0,217.9,220.25,151.86,286.63,0.5239851574641031,0.5127339345089877,0.4725727850729466,0.5834676199923736,15.302293135553663,15.461014028237642,10.597225111276407,20.235401068537413,37.70963544807389,30.616180339246924,22.70917328434532,61.469901136099736,12.85,13.5,10.9,14.0,0.85,1.0,0.0,2.0,0.08928571428571427,0.07142857142857142,0.0,0.14285714285714285,6.425,6.75,5.45,7.0
2,wood_cost=3_stone_cost=3_income_per_house_per_step=1.0,20,9,3,3,1.0,232.45499999999998,216.8,158.26,329.11,0.5266680508126278,0.5235069808681261,0.4559839741540628,0.6042790043317962,16.340594546022256,15.200189613311185,11.019439907323449,23.263045082307585,43.22072835347702,35.548850139920894,24.14753063240247,75.77983827035062,13.2,13.0,12.0,14.0,0.7,0.5,0.0,2.0,0.09642857142857142,0.07142857142857142,0.0,0.21428571428571427,6.6,6.5,6.0,7.0
2,wood_cost=3_stone_cost=3_income_per_house_per_step=1.0,20,10,3,3,1.0,240.265,241.25,159.22,339.58,0.5281200339994343,0.5196644002681836,0.46307375397825057,0.6107120524117778,16.897725697285995,16.97445952226043,11.053114227566756,24.02079421620239,47.1068335429736,38.30472256567974,28.702057565363805,82.07424281151071,13.05,13.0,12.0,14.0,0.35,0.0,0.0,1.1,0.09999999999999999,0.07142857142857142,0.0,0.21428571428571427,6.525,6.5,6.0,7.0
2,wood_cost=3_stone_cost=3_income_per_house_per_step=1.0,20,11,3,3,1.0,256.18,249.45,170.87,343.95,0.5355794344166613,0.5232742021416954,0.44494483437854077,0.6101212808346009,18.030781711363097,17.561303158550185,11.907351774418602,24.318898714173514,52.38099473598965,41.089729468434115,30.53573143938222,85.4429653275189,13.45,14.0,12.9,14.0,0.9,1.0,0.0,2.0,0.11785714285714285,0.14285714285714285,0.06428571428571428,0.21428571428571427,6.725,7.0,6.45,7.0
2,wood_cost=3_stone_cost=3_income_per_house_per_step=1.0,20,12,3,3,1.0,271.67,269.95,189.72,368.59,0.5427379543361246,0.5329867525707476,0.4730933893245692,0.6220574910603262,19.133631022831935,18.995048915286368,13.241620530952828,26.097040584476986,59.13295464368215,57.29202057145058,36.08059981037307,97.05069271384671,13.35,13.0,12.9,14.0,0.7,0.0,0.0,2.0,0.11071428571428571,0.14285714285714285,0.0,0.21428571428571427,6.675,6.5,6.45,7.0
2,wood_cost=3_stone_cost=3_income_per_house_per_step=1.0,20,13,3,3,1.0,273.16499999999996,277.79999999999995,191.47999999999996,373.13999999999993,0.5353852416413848,0.5328422319269,0.4681562678338104,0.5951506719559709,19.244093093465022,19.5721650195552,13.363152799500806,26.404553057899648,62.32914666046254,56.77841755145222,38.45881554421901,104.04703973264408,13.25,14.0,12.0,14.0,0.25,0.0,0.0,1.0,0.10357142857142856,0.10714285714285714,0.0,0.15,6.625,7.0,6.0,7.0
2,wood_cost=3_stone_cost=3_income_per_house_per_step=1.0,20,14,3,3,1.0,295.87,291.7,201.71,388.09,0.5449908009515345,0.5560930160835301,0.4638877014411326,0.6121517975781409,20.86107602809566,20.576263402152936,14.10062824529281,27.475836594505054,70.10325615085392,64.07586121242055,42.93138188918396,104.68655879562473,13.35,13.5,12.0,14.0,1.0,1.0,0.0,2.0,0.08928571428571427,0.07142857142857142,0.0,0.21428571428571427,6.675,6.75,6.0,7.0
2,wood_cost=3_stone_cost=3_income_per_house_per_step=1.0,20,15,3,3,1.0,308.76,328.45,212.34,407.98,0.5461544982066541,0.5539396527841906,0.47540855440922214,0.615003578069821,21.781208465182388,23.17372997936947,14.88549922653418,28.89955147572673,77.85844540789051,81.24064323440481,47.85873228060618,116.5625251344302,13.5,14.0,12.9,14.0,0.7,0.0,0.0,2.0,0.10714285714285714,0.10714285714285714,0.0,0.21428571428571427,6.75,7.0,6.45,7.0
2,wood_cost=3_stone_cost=3_income_per_house_per_step=1.0,20,16,3,3,1.0,321.96999999999997,333.95,221.01,415.18,0.5492710484869755,0.5599810632883393,0.47687474860935053,0.6182940657622955,22.723221618613653,23.57051220857673,15.478831041136067,29.406475606746703,85.95815321391488,90.2294366030091,52.55113329471383,124.26093306289357,13.5,14.0,12.9,14.0,0.2,0.0,0.0,1.0,0.09999999999999999,0.07142857142857142,0.0,0.21428571428571427,6.75,7.0,6.45,7.0
2,wood_cost=3_stone_cost=3_income_per_house_per_step=1.0,20,17,3,3,1.0,334.82,347.2,241.29,443.51,0.5468451357036458,0.5492561578806121,0.47271363965714003,0.6155035985840273,23.642291717862463,24.511796904679485,16.958762186769803,31.443124000891885,89.88062965788416,88.96184865992267,56.35666973226366,131.21764956437687,13.6,14.0,13.0,14.0,1.1,1.0,0.0,2.0,0.07857142857142857,0.07142857142857142,0.0,0.14285714285714285,6.8,7.0,6.5,7.0
2,wood_cost=3_stone_cost=3_income_per_house_per_step=1.0,20,18,3,3,1.0,352.94,352.95,242.2,473.18,0.5488080536992866,0.5566548750773725,0.46561593281762925,0.6258333546198971,24.935595973150356,24.947367679845946,17.02055091578308,33.56409566083974,100.29597565529849,98.03109181254187,61.72923987365553,146.30312412677458,13.55,14.0,13.0,14.0,0.65,0.0,0.0,2.0,0.10714285714285714,0.07142857142857142,0.0,0.22142857142857142,6.775,7.0,6.5,7.0
2,wood_cost=3_stone_cost=3_income_per_house_per_step=1.0,20,19,3,3,1.0,361.895,367.7,255.23000000000005,503.51,0.5511287490126291,0.5436180409592474,0.482356981696656,0.6267704047365065,25.57407848263654,25.982663981715703,17.911152994115447,35.72304772381716,108.50303321689714,112.3497586126075,70.51046260770813,159.5959227729318,13.65,14.0,13.0,14.0,0.15,0.0,0.0,1.0,0.12142857142857143,0.14285714285714285,0.0,0.21428571428571427,6.825,7.0,6.5,7.0
2,wood_cost=3_stone_cost=3_income_per_house_per_step=1.0,20,20,3,3,1.0,386.26,375.35,276.7,533.97,0.5490421876770816,0.5678789769182782,0.4764408886955681,0.6085346244270583,27.31547890616146,26.544845251459684,19.479454031117395,37.89215651169749,116.95587113983497,112.82974604739411,75.75044658254136,169.3847239243195,13.7,14.0,13.0,14.0,1.15,1.0,0.0,2.0,0.075,0.07142857142857142,0.0,0.14285714285714285,6.85,7.0,6.5,7.0
2,wood_cost=3_stone_cost=3_income_per_house_per_step=1.0,20,21,3,3,1.0,403.0,400.5,281.27,570.24,0.547317241314308,0.5609851615758077,0.46706610545021926,0.6225957349884691,28.51205566505713,28.347364962831954,19.79248919571834,40.48646681023969,128.70963649709174,128.79867031979794,83.23692529467044,193.22416944902199,13.7,14.0,13.0,14.0,0.65,0.0,0.0,2.0,0.11428571428571428,0.07142857142857142,0.06428571428571428,0.21428571428571427,6.85,7.0,6.5,7.0
2,wood_cost=3_stone_cost=3_income_per_house_per_step=1.0,20,22,3,3,1.0,407.78000000000003,406.4,281.08,549.83,0.5521851504415399,0.569143332404013,0.47012814094240296,0.6333627240275047,28.851050281922088,28.74336179691594,19.801342261796773,39.01037879564114,135.45055794126313,138.21787025506657,83.9259381429298,190.36577400138833,13.6,14.0,12.9,14.0,0.05,0.0,0.0,0.0,0.11428571428571428,0.10714285714285714,0.0,0.21428571428571427,6.8,7.0,6.45,7.0
2,wood_cost=3_stone_cost=3_income_per_house_per_step=1.0,20,23,3,3,1.0,426.5,421.1,302.76,586.69,0.5521303129834112,0.5619163259686427,0.4715464918495883,0.6262213547254157,30.188220557794008,29.8116915188714,21.342448671002316,41.65202046267347,139.52800804606412,141.25933100655817,91.17209821760837,199.69010958546426,13.9,14.0,14.0,14.0,1.2,1.5,0.0,2.0,0.07857142857142857,0.07142857142857142,0.0,0.15,6.95,7.0,7.0,7.0
2,wood_cost=3_stone_cost=3_income_per_house_per_step=1.0,20,24,3,3,1.0,438.06,442.9,283.71999999999997,594.06,0.5557049193954993,0.5678105163676592,0.4770332395178378,0.6459874724506757,31.01214754030225,31.366059909668586,19.968927742399686,42.17708222418689,151.07311671335478,157.54839539310703,91.69923561572654,214.65739405515532,13.65,14.0,12.9,14.0,0.65,0.0,0.0,2.0,0.09999999999999999,0.07142857142857142,0.0,0.21428571428571427,6.825,7.0,6.45,7.0
2,wood_cost=3_stone_cost=3_income_per_house_per_step=1.0,20,25,3,3,1.0,443.07,452.9,301.33000000000004,588.21,0.557623425140249,0.5661189081310758,0.48716597812612605,0.6391875972885193,31.36904543028702,32.06694054593446,21.241934252593317,41.756622807278085,160.97269324766023,162.3967129917462,99.43437322274714,216.75334774944145,13.85,14.0,13.0,14.0,0.1,0.0,0.0,0.1,0.12142857142857143,0.14285714285714285,0.0,0.21428571428571427,6.925,7.0,6.5,7.0
2,wood_cost=3_stone_cost=3_income_per_house_per_step=1.0,20,26,3,3,1.0,472.68664290538766,490.3,305.21,602.7,0.5593311225153719,0.5618743420820468,0.47570653478912656,0.6590281771940235,33.48366607484143,34.76133178770277,21.511551394449388,42.79158361275651,171.6132067117692,180.77616670372407,100.48035490963846,230.4543790109081,13.8,14.0,13.0,14.0,1.15,1.0,0.0,2.0,0.07857142857142857,0.07142857142857142,0.0,0.14285714285714285,6.9,7.0,6.5,7.0
2,wood_cost=3_stone_cost=3_income_per_house_per_step=1.0,20,27,3,3,1.0,470.17,489.95000000000005,311.35,610.9,0.555828338595837,0.5686712636020418,0.47598473085667903,0.6340306907502893,33.30565725927351,34.73241085692189,21.95014084780001,43.38277925779532,175.26301491513098,183.54910117294057,108.9684078173968,235.205600321546,13.8,14.0,13.0,14.0,0.7,0.5,0.0,2.0,0.09285714285714285,0.07142857142857142,0.0,0.21428571428571427,6.9,7.0,6.5,7.0
2,wood_cost=3_stone_cost=3_income_per_house_per_step=1.0,20,28,3,3,1.0,479.085,502.04999999999995,302.63,612.95,0.5490630485321345,0.5546205492208041,0.47356034223558774,0.6252522341600398,33.94582561859107,35.600450065529074,21.330607037536428,43.529463403405046,187.34406905653,195.1106582252729,107.84992794994874,252.1779755423479,13.9,14.0,13.9,14.0,0.15,0.0,0.0,1.0,0.09285714285714285,0.07142857142857142,0.0,0.15,6.95,7.0,6.95,7.0
2,wood_cost=3_stone_cost=3_income_per_house_per_step=1.0,20,29,3,3,1.0,491.6,522.75,337.44,647.46,0.5513866827392372,0.5418541854880432,0.4654619337328272,0.6375792109550708,34.8385923729161,37.09139200925327,23.834737460865128,46.03350354217601,189.5722462619703,190.91398745308516,116.29678778409951,252.10955020204864,13.9,14.0,13.9,14.0,1.15,1.0,0.0,2.0,0.075,0.07142857142857142,0.0,0.15,6.95,7.0,6.95,7.0
3,wood_cost=3_stone_cost=6_income_per_house_per_step=0.25,20,0,3,6,0.25,82.79,81.69999999999999,73.15,92.95,0.22800542817218264,0.22484525811729325,0.16090758337233194,0.3158965157046674,5.799568714485337,5.7452133156501395,5.107283469005796,6.536956870126692,8.1302,8.030000000000001,7.132600000000001,9.253,9.95,10.0,8.0,11.1,1.45,1.5,1.0,2.0,0.06785714285714285,0.07142857142857142,0.0,0.14285714285714285,4.975,5.0,4.0,5.55
3,wood_cost=3_stone_cost=6_income_per_house_per_step=0.25,20,1,3,6,0.25,40.3275,40.5,28.36,53.385,0.4395533208433182,0.4487137576382426,0.36918523465484787,0.522724677278239,2.660759053864055,2.6434494773519166,1.8007591980454152,3.6003144685380244,3.4789932,3.51648,2.4554976,4.6116504,11.0,11.0,9.8,13.0,1.3,1.0,0.9,2.0,0.16428571428571428,0.14285714285714285,0.07142857142857142,0.22142857142857142,5.5,5.5,4.9,6.5
3,wood_cost=3_stone_cost=6_income_per_house_per_step=0.25,20,2,3,6,0.25,26.927500000000002,26.275,16.82,37.845,0.570342629012493,0.5845315040276875,0.4338058530955902,0.7021699349637726,1.6382215426366107,1.6026616811108005,0.863100145595202,2.4824197522335822,2.0160092,1.9580420000000003,1.2398152,2.8201392000000003,11.65,12.0,10.0,13.0,1.0,1.0,0.0,2.0,0.3678571428571428,0.35714285714285715,0.21428571428571427,0.5071428571428571,5.825,6.0,5.0,6.5
3,wood_cost=3_stone_cost=6_income_per_house_per_step=0.25,20,3,3,6,0.25,22.747500000000002,21.975,11.3,34.67,0.6224655879066973,0.6050650491083703,0.5396625568762908,0.7192223966509681,1.31358863461808,1.2505827956415865,0.507502451781628,2.2100404588175935,1.4841396,1.4458600000000001,0.7503200000000001,2.2987016,11.8,12.0,10.0,14.0,0.35,0.0,0.0,1.0,0.45,0.42857142857142855,0.2857142857142857,0.5785714285714285,5.9,6.0,5.0,7.0
3,wood_cost=3_stone_cost=6_income_per_house_per_step=0.25,20,4,3,6,0.25,22.633375,22.0,12.66,35.515,0.6363960239174318,0.6211867775164783,0.5148526979650323,0.7674327213279678,1.298471630898427,1.2209246669443978,0.5285514567669174,2.2124426139184687,1.25910399528125,1.2380599528125,0.698832,2.0369279999999996,12.5,13.0,10.9,14.0,0.05,0.0,0.0,0.0,0.48214285714285715,0.5,0.35,0.6428571428571429,6.25,6.5,5.45,7.0
3,wood_cost=3_stone_cost=6_income_per_house_per_step=0.25,20,5,3,6,0.25,25.335,26.200000000000003,16.48,34.005,0.6287002742460595,0.6442068106312292,0.49684418145956605,0.7289142857142856,1.4952927200198276,1.559982389528639,0.8342932172869147,2.170281769512539,1.10173761125,1.07107,0.7197739999999999,1.4939100000000003,12.8,13.0,12.0,14.0,0.6,0.0,0.0,2.0,0.4642857142857143,0.5,0.2785714285714285,0.5785714285714285,6.4,6.5,6.0,7.0
3,wood_cost=3_stone_cost=6_income_per_house_per_step=0.25,20,6,3,6,0.25,23.8775,26.35,14.24,30.81,0.6233645791710456,0.6118041500918883,0.5457520349733811,0.7490343223416235,1.3938534247001915,1.589244156363978,0.6414970995762076,1.9883446300897594,0.8161372587499999,0.8414839999999999,0.46707199999999993,1.0755622699999998,13.0,13.0,12.0,14.0,0.25,0.0,0.0,1.0,0.45357142857142857,0.42857142857142855,0.35,0.6428571428571429,6.5,6.5,6.0,7.0
3,wood_cost=3_stone_cost=6_income_per_house_per_step=0.25,20,7,3,6,0.25,23.5875875,24.95,14.15,32.33,0.6278230730623088,0.6373956919813455,0.5074381842456609,0.7440333104395606,1.3709161420402742,1.4788636272665412,0.6386976304945056,2.0538951935914556,0.5446805997090624,0.550908,0.3056399999999999,0.7454159999999997,12.85,13.0,12.0,14.0,0.15,0.0,0.0,1.0,0.4642857142857143,0.5,0.35,0.6428571428571429,6.425,6.5,6.0,7.0
3,wood_cost=3_stone_cost=6_income_per_house_per_step=0.25,20,8,3,6,0.25,25.5325,25.75,17.339999999999996,31.42,0.6364030251948342,0.6621485220540239,0.49045105181239057,0.7508955144557823,1.5055484874025828,1.524990341907635,0.9067091836734693,1.960375403424934,0.30286728599999985,0.26514799999999983,0.19437599999999988,0.4494517574999998,13.05,13.0,12.0,14.0,0.45,0.0,0.0,1.0,0.4642857142857143,0.4642857142857143,0.2857142857142857,0.6428571428571429,6.525,6.5,6.0,7.0
3,wood_cost=3_stone_cost=6_income_per_house_per_step=0.25,20,9,3,6,0.25,26.37,25.7,18.05,33.75000000000001,0.6267428292543573,0.6239121076024481,0.5189597594523703,0.7127401850008055,1.57020001394425,1.5138302565120538,0.9790483897070723,2.119249881544658,0.13302068287499996,0.08868599999999996,0.05614751999999998,0.2967901999999998,13.25,13.5,12.0,14.0,0.25,0.0,0.0,1.0,0.45357142857142857,0.42857142857142855,0.35,0.5785714285714285,6.625,6.75,6.0,7.0
